Sr No,Model Name,Skin Name,Image Link,Warning
123,Samsung Galaxy  A72,Cosmic Haze,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cosmic%20Haze.jpg,
124,Samsung Galaxy  A72,CR7,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_CR7.jpg,
125,Samsung Galaxy  A72,Crimson Folk,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Crimson%20Folk.jpg,
126,Samsung Galaxy  A72,Crimson Ronin,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Crimson%20Ronin.jpg,
127,Samsung Galaxy  A72,Cube Maze,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cube%20Maze.jpg,
128,Samsung Galaxy  A72,Cubic Maze,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cubic%20Maze.jpg,
129,Samsung Galaxy  A72,Cubic Prism,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cubic%20Prism.jpg,
130,Samsung Galaxy  A72,Cubist Art,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Cubist%20Art.jpg,
131,Samsung Galaxy  A72,Dark Pulse,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Dark%20Pulse.jpg,
132,Samsung Galaxy  A72,Dark Whirls,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Dark%20Whirls.jpg,
133,Samsung Galaxy  A72,Digital Zen,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Digital%20Zen.jpg,
134,Samsung Galaxy  A72,Duality,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Duality.jpg,
135,Samsung Galaxy  A72,Dynamic Cluster,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Dynamic%20Cluster.jpg,
136,Samsung Galaxy  A72,Dynamic Dialogue,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Dynamic%20Dialogue.jpg,
137,Samsung Galaxy  A72,Electric Aurora,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Electric%20Aurora.jpg,
138,Samsung Galaxy  A72,Endgame Echo,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Endgame%20Echo.jpg,
139,Samsung Galaxy  A72,Fiery Dragon,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Fiery%20Dragon.jpg,
140,Samsung Galaxy  A72,Fiery Geometry,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Fiery%20Geometry.jpg,
141,Samsung Galaxy  A72,Firefly Fade,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Firefly%20Fade.jpg,
142,Samsung Galaxy  A72,Flash Mint,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Flash%20Mint.jpg,
143,Samsung Galaxy  A72,Frostbite Funk,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Frostbite%20Funk.jpg,
